,game_id,fav_side,dog_side,full_date,away_score,home_score,away,home,ou_total,spread,ou,spread_away_cover,spread_home_cover,ml_fav,ml_dog,match_key,favorite_covered
2747,2011-10-29_Ball State_Western Michigan,home,away,2011-10-29,35,45,Ball State,Western Michigan,58.5,12.0,O,y,n,-411.86206896551727,430.82758620689657,Ball State_Western Michigan,n
2748,2011-10-29_Baylor_Oklahoma State,home,away,2011-10-29,24,59,Baylor,Oklahoma State,82.5,15.0,O,y,n,-540.32,502.0,Baylor_Oklahoma State,y
2749,2011-10-29_Boston College_Maryland,home,away,2011-10-29,28,17,Boston College,Maryland,48.0,7.0,U,y,n,-470.5263157894737,1887.4812030075188,Boston College_Maryland,n
2750,2011-10-29_Bowling Green_Kent State,away,home,2011-10-29,15,27,Bowling Green,Kent State,39.5,3.5,O,y,n,-252.70491803278688,1557.639344262295,Bowling Green_Kent State,n
2751,2011-10-29_Buffalo_Miami OH,home,away,2011-10-29,13,41,Buffalo,Miami OH,48.5,5.0,O,y,n,-398.10526315789474,1200,Buffalo_Miami OH,y
2752,2011-10-29_California_UCLA,away,home,2011-10-29,14,31,California,UCLA,51.5,4.0,U,y,n,-180,160,California_UCLA,n
2753,2011-10-29_Clemson_Georgia Tech,away,home,2011-10-29,17,31,Clemson,Georgia Tech,64.0,3.5,U,y,n,-750,1557.639344262295,Clemson_Georgia Tech,n
2754,2011-10-29_Colorado State_UNLV,away,home,2011-10-29,35,38,Colorado State,UNLV,47.5,1.5,O,y,n,-140,170,Colorado State_UNLV,n
2755,2011-10-29_Duke_Virginia Tech,away,home,2011-10-29,14,10,Virginia Tech,Duke,53.0,15.0,U,n,y,-230,502.0,Duke_Virginia Tech,n
2756,2011-10-29_East Carolina_Tulane,home,away,2011-10-29,13,34,Tulane,East Carolina,58.5,15.5,U,y,n,-607.6153846153846,474.88461538461536,East Carolina_Tulane,y
2757,2011-10-29_FCS_Florida State,home,away,2011-10-29,0,34,FCS,Florida State,52.0,18.5,U,y,n,-645.2941176470588,748.2352941176471,FCS_Florida State,y
2758,2011-10-29_Florida_Georgia,away,home,2011-10-29,24,20,Georgia,Florida,46.5,3.5,U,y,n,-165,240,Florida_Georgia,y
2759,2011-10-29_Illinois_Penn State,home,away,2011-10-29,7,10,Illinois,Penn State,38.0,5.0,U,y,n,-398.10526315789474,415.05263157894734,Illinois_Penn State,n
2760,2011-10-29_Indiana_Northwestern,away,home,2011-10-29,59,38,Northwestern,Indiana,63.0,9.0,O,y,n,-311.2972972972973,422.86486486486484,Indiana_Northwestern,y
2761,2011-10-29_Iowa State_Texas Tech,home,away,2011-10-29,41,7,Iowa State,Texas Tech,67.0,16.0,U,y,n,-586.3076923076923,832.8846153846154,Iowa State_Texas Tech,n
2762,2011-10-29_Iowa_Minnesota,away,home,2011-10-29,21,22,Iowa,Minnesota,53.0,15.5,U,n,y,-607.6153846153846,474.88461538461536,Iowa_Minnesota,n
2763,2011-10-29_Kansas State_Oklahoma,away,home,2011-10-29,58,17,Oklahoma,Kansas State,58.0,13.0,O,y,n,-500,450,Kansas State_Oklahoma,y
2764,2011-10-29_Kansas_Texas,home,away,2011-10-29,0,43,Kansas,Texas,64.5,28.5,U,y,n,-165,2100,Kansas_Texas,y
2765,2011-10-29_Kentucky_Mississippi State,away,home,2011-10-29,28,16,Mississippi State,Kentucky,41.5,10.0,O,y,n,-375,175,Kentucky_Mississippi State,y
2766,2011-10-29_Louisiana Monroe_Western Kentucky,home,away,2011-10-29,31,28,Western Kentucky,Louisiana Monroe,48.0,6.0,O,y,n,-524.776119402985,786.1044776119403,Louisiana Monroe_Western Kentucky,n
2767,2011-10-29_Louisiana Tech_San Jose State,home,away,2011-10-29,28,38,San Jose State,Louisiana Tech,49.5,7.0,O,y,n,-470.5263157894737,1887.4812030075188,Louisiana Tech_San Jose State,y
