,game_id,full_date,spread,ou,ou_total,home,away,match_key,home_score,away_score,fav_side,dog_side,favorite_covered,spread_home_cover,spread_away_cover,ml_fav,ml_dog
553,2023-11-18_FAU_Tulane,2023-11-18,9.0,U,47.0,FAU,Tulane,FAU_Tulane,8,24,away,home,y,n,y,-311.2972972972973,422.86486486486484
554,2023-11-18_Florida_Missouri,2023-11-18,12.5,O,56.0,Missouri,Florida,Florida_Missouri,33,31,away,home,n,n,y,-628.1851851851852,429.48148148148147
555,2023-11-18_Fresno State_New Mexico,2023-11-18,22.0,U,58.0,Fresno State,New Mexico,Fresno State_New Mexico,17,25,home,away,n,n,y,-771.0,864.2
556,2023-11-18_Georgia Southern_Old Dominion,2023-11-18,5.5,U,62.5,Georgia Southern,Old Dominion,Georgia Southern_Old Dominion,17,20,home,away,n,n,y,-404.5111111111111,991.0444444444445
557,2023-11-18_Georgia Tech_Syracuse,2023-11-18,6.0,O,51.5,Georgia Tech,Syracuse,Georgia Tech_Syracuse,31,22,away,home,n,y,n,-524.776119402985,786.1044776119403
558,2023-11-18_Georgia_Tennessee,2023-11-18,9.0,U,59.0,Tennessee,Georgia,Georgia_Tennessee,10,38,home,away,n,n,y,-311.2972972972973,422.86486486486484
559,2023-11-18_Hawaii_Wyoming,2023-11-18,13.5,O,45.0,Wyoming,Hawaii,Hawaii_Wyoming,42,9,away,home,n,y,n,-448.22222222222223,1511.4888888888888
560,2023-11-18_Houston_Oklahoma State,2023-11-18,6.5,O,57.5,Houston,Oklahoma State,Houston_Oklahoma State,30,43,home,away,n,n,y,-398.2073170731707,667.0243902439024
561,2023-11-18_Illinois_Iowa,2023-11-18,3.0,U,33.5,Iowa,Illinois,Illinois_Iowa,15,13,away,home,n,n,y,-276.2142857142857,695.625
562,2023-11-18_Indiana_Michigan State,2023-11-18,3.5,U,47.0,Indiana,Michigan State,Indiana_Michigan State,21,24,away,home,n,y,n,-252.70491803278688,1557.639344262295
563,2023-11-18_Iowa State_Texas,2023-11-18,7.0,U,44.5,Iowa State,Texas,Iowa State_Texas,16,26,away,home,y,n,y,-470.5263157894737,1887.4812030075188
564,2023-11-18_Jacksonville State_Louisiana Tech,2023-11-18,10.0,O,54.5,Jacksonville State,Louisiana Tech,Jacksonville State_Louisiana Tech,56,17,home,away,y,y,n,-521.3134328358209,471.5074626865672
565,2023-11-18_Kansas_Kansas State,2023-11-18,7.0,U,60.5,Kansas,Kansas State,Kansas_Kansas State,27,31,away,home,n,y,n,-470.5263157894737,1887.4812030075188
