Team	Rating	v 1-10	v 11-25	v 26-40	Hi	Lo	Last	Season
Northwestern 	-0.1	0-1	1-0	2-1	63	114	70	2023
Illinois 	-0.2	0-1	0-1	1-1	40	80	64	2023
App State 	-0.7	0-0	0-0	1-2	65	94	66	2023
Minnesota 	-0.9	0-2	0-0	0-2	33	67	65	2023
Purdue 	-1.1	0-2	0-0	0-1	54	75	67	2023
UNLV 	-1.2	0-1	0-1	0-0	61	106	69	2023
Miami OH 	-1.6	0-0	0-0	0-1	68	107	68	2023
BYU 	-1.8	0-2	0-1	1-2	47	79	72	2023
Fresno St 	-1.8	0-0	0-0	0-0	46	80	76	2023
Pittsburgh 	-2.1	0-1	1-1	0-2	33	73	71	2023
Colorado 	-2.1	0-1	0-4	1-1	55	99	73	2023
Coastal Car 	-2.2	0-0	0-0	0-2	48	80	78	2023
Wyoming 	-2.5	0-1	0-0	1-0	73	93	75	2023
Wake Forest 	-2.7	0-1	0-2	0-2	48	79	74	2023
Ohio 	-3.1	0-0	0-0	1-0	64	89	83	2023
Houston 	-3.2	0-1	0-1	0-2	59	80	77	2023
Syracuse 	-3.3	0-0	0-2	0-1	22	79	63	2023
Jacksonville St 	-3.6	0-0	0-0	0-0	78	125	79	2023
Indiana 	-3.8	0-3	0-1	1-1	71	99	80	2023
Boston College 	-3.9	0-0	1-2	0-1	76	107	87	2023
Baylor 	-3.9	0-1	0-2	0-3	29	84	82	2023
Cincinnati 	-4.3	0-1	0-1	0-1	35	85	85	2023
W Kentucky 	-4.4	0-1	0-0	0-1	61	86	84	2023
Louisiana 	-5	0-0	0-0	0-1	76	96	89	2023
Michigan St 	-5.4	0-3	0-1	0-1	48	89	88	2023
Rice 	-5.5	0-1	0-1	0-0	79	108	81	2023
Bowling Green 	-5.6	0-1	0-0	0-0	87	119	90	2023
Florida Atlantic 	-6.3	0-0	0-1	0-0	67	95	91	2023
Texas St 	-6.3	0-0	0-0	0-1	82	122	100	2023
Virginia 	-6.3	0-0	0-2	2-4	86	113	92	2023
New Mexico St 	-6.5	0-0	0-0	1-0	86	130	86	2023
Army 	-7.2	0-1	0-0	0-1	62	106	94	2023
Arizona St 	-7.3	0-1	0-4	1-0	74	118	95	2023
S Florida 	-7.3	0-1	0-0	0-0	87	115	109	2023
Vanderbilt 	-7.4	0-1	0-3	0-3	78	101	99	2023
Georgia St 	-7.7	0-1	0-0	0-2	75	112	103	2023
Georgia So 	-7.8	0-0	0-0	0-2	56	99	93	2023
Marshall 	-8.1	0-0	0-0	0-2	76	103	96	2023
E Carolina 	-8.1	0-1	0-1	0-0	83	105	97	2023
N Illinois 	-8.6	0-0	0-0	0-0	92	119	101	2023
N Texas 	-8.8	0-0	0-1	0-0	88	122	102	2023
Old Dominion 	-9.1	0-0	0-0	0-1	101	126	104	2023
Navy 	-9.3	0-1	0-1	0-0	82	107	106	2023
Utah St 	-9.6	0-0	0-0	0-1	81	117	98	2023
Middle Tenn 	-9.7	0-1	0-1	0-0	95	116	105	2023
Arkansas St 	-9.7	0-1	0-0	0-1	103	132	107	2023
UAB 	-10.5	0-1	0-0	0-0	85	112	111	2023
San Diego St 	-10.7	0-0	0-1	0-1	73	114	108	2023
Stanford 	-10.8	0-2	0-4	0-1	103	123	110	2023
Colorado St 	-11.2	0-0	0-0	0-0	103	124	112	2023
Ball St 	-13.4	0-1	0-0	0-1	106	128	114	2023
Tulsa 	-13.5	0-1	0-2	0-0	87	119	113	2023
Buffalo 	-13.8	0-0	0-0	0-1	92	119	115	2023
C Michigan 	-14.2	0-1	0-0	0-0	103	119	117	2023
Louisiana Tech 	-14.4	0-0	0-1	0-0	102	118	116	2023
Sam Houston 	-14.6	0-0	0-0	0-0	114	127	118	2023
W Michigan 	-14.9	0-0	0-0	0-0	110	127	119	2023
Southern Miss 	-15	0-0	0-1	0-1	91	127	122	2023
UTEP 	-15	0-0	0-1	0-0	113	129	120	2023
UConn 	-15.4	0-0	0-1	0-3	107	126	123	2023
Charlotte 	-15.7	0-0	0-1	0-2	110	126	124	2023
New Mexico 	-16.7	0-0	0-1	0-0	120	132	125	2023
E Michigan 	-16.9	0-0	0-0	0-0	95	125	121	2023
Hawai'i 	-17.5	0-1	0-0	0-0	124	131	126	2023
Temple 	-18.2	0-0	0-1	0-1	92	130	127	2023
UL Monroe 	-19.9	0-0	0-2	0-1	113	129	129	2023
Florida Intl 	-20.7	0-0	0-0	0-0	121	131	130	2023
UMass 	-20.7	0-1	0-0	0-1	128	133	128	2023
Nevada 	-20.7	0-0	0-2	0-0	124	133	131	2023
Akron 	-21.1	0-0	0-0	0-1	120	132	132	2023
Kent St 	-27.4	0-0	0-0	0-0	131	133	133	2023
Ohio St 	31.3	6-1	1-1	1-0	1	4	1	2024
Notre Dame 	27.4	3-1	3-0	0-0	2	13	3	2024
Texas 	26.9	0-3	5-0	2-0	1	5	2	2024
Mississippi 	26	1-0	1-2	2-0	3	7	4	2024
Alabama 	24.1	1-1	3-1	1-1	1	6	5	2024
Georgia 	24.1	3-3	2-0	1-0	1	6	6	2024
Penn St 	23.2	0-3	2-0	3-0	6	11	9	2024
Oregon 	22.3	2-1	1-0	2-0	4	21	8	2024
Tennessee 	22.2	1-2	1-0	1-1	4	14	7	2024
Indiana 	21.5	0-2	1-0	1-0	10	68	10	2024
Miami 	18.9	0-0	2-1	1-0	7	21	11	2024
South Carolina 	17.5	0-2	3-1	1-1	12	56	12	2024
LSU 	16.7	1-1	1-3	3-0	9	20	16	2024
Louisville 	16.4	0-1	1-2	0-0	12	31	13	2024
Clemson 	16.1	0-2	1-2	1-0	8	22	15	2024
SMU 	16	0-1	1-2	1-0	13	48	14	2024
Texas A&M 	15.5	0-2	3-2	1-1	11	20	17	2024
Florida 	15.4	1-3	1-2	1-0	18	44	18	2024
USC 	15.1	0-2	2-1	1-1	10	23	19	2024
Arizona St 	13.8	0-1	2-0	3-0	20	77	21	2024
Michigan 	13.6	2-3	1-0	1-1	10	41	27	2024
Iowa 	13.5	0-1	0-2	2-0	19	28	25	2024
Missouri 	13.3	0-1	1-2	3-0	10	29	23	2024
Iowa St 	13.1	0-0	2-1	3-1	14	37	26	2024
BYU 	12.9	0-0	1-1	4-1	22	63	29	2024
Kansas St 	12.7	0-0	0-3	3-0	14	27	24	2024
Oklahoma 	12.3	1-3	0-3	2-0	9	28	22	2024
Colorado 	12.3	0-0	0-1	2-3	20	79	20	2024
Minnesota 	11.8	0-1	1-2	2-0	29	58	33	2024
Virginia Tech 	10.4	0-0	0-2	0-1	23	50	28	2024
TCU 	10.4	0-0	0-1	2-1	24	54	37	2024
Baylor 	10.4	0-0	0-3	2-2	30	61	31	2024
Kansas 	10.2	0-0	2-1	1-4	24	49	35	2024
Auburn 	10.2	0-2	1-1	0-2	14	37	32	2024
Tulane 	10.1	0-0	0-1	0-2	17	49	30	2024
Arkansas 	10	1-2	0-3	1-0	23	50	36	2024
Boise St 	9.7	0-2	0-0	0-0	22	47	34	2024
Illinois 	8.4	0-2	2-0	2-1	37	59	46	2024
Nebraska 	8.4	0-2	0-2	1-1	27	55	41	2024
Utah 	8	0-0	0-3	1-2	11	47	39	2024
UCF 	7.9	0-0	0-4	1-2	16	46	42	2024
Georgia Tech 	7.7	0-2	1-1	0-1	36	48	38	2024
Kentucky 	7.6	1-3	0-3	0-1	21	48	40	2024
UNLV 	7.3	0-0	0-0	1-2	21	82	45	2024
Vanderbilt 	7.2	1-2	0-3	2-0	40	97	44	2024
Texas Tech 	6.5	0-0	2-0	0-4	36	83	43	2024
Wisconsin 	6.3	0-3	0-2	0-2	29	61	48	2024
Washington 	6.3	0-3	2-2	0-0	37	55	50	2024
Rutgers 	5.7	0-0	0-1	2-3	40	67	51	2024
Syracuse 	5.3	0-0	1-0	1-0	48	69	52	2024
Boston College 	4.9	0-0	0-3	0-2	24	66	49	2024
Army 	4.8	0-1	0-0	1-0	47	98	47	2024
Cincinnati 	4.8	0-0	1-1	0-3	37	74	53	2024
Memphis 	4.6	0-0	0-0	1-0	29	67	55	2024
UCLA 	3.8	0-3	1-2	1-1	48	82	60	2024
Navy 	3.6	0-1	0-0	1-1	55	101	63	2024
West Virginia 	3.3	0-1	0-1	1-2	28	59	57	2024
Pittsburgh 	3.2	0-0	0-3	0-0	34	75	54	2024
Duke 	2.6	0-1	0-2	1-0	55	79	56	2024
California 	2.5	0-0	0-2	1-0	39	68	58	2024
Texas St 	2.1	0-0	0-1	0-0	55	94	61	2024
North Carolina 	1.6	0-0	0-0	1-0	43	69	59	2024
J Madison 	1	0-0	0-0	0-0	42	91	62	2024
Marshall 	0.6	0-1	0-0	0-1	64	105	65	2024
Mississippi St 	0.4	0-4	0-4	0-1	50	86	66	2024
Maryland 	0.3	0-3	1-1	0-1	31	70	70	2024
NC State 	0.1	0-1	0-1	0-0	31	79	64	2024
Ohio 	-0.2	0-0	0-0	0-0	68	112	71	2024
S Alabama 	-0.6	0-0	0-1	0-0	59	101	69	2024
Washington St 	-0.7	0-0	0-0	0-1	42	73	67	2024
Oklahoma St 	-1	0-0	0-2	1-5	19	76	74	2024
Houston 	-1.1	0-0	0-2	3-3	56	91	75	2024
Miami OH 	-1.3	0-1	0-0	0-0	69	95	78	2024
Florida St 	-1.5	0-1	0-4	0-0	12	75	73	2024
Virginia 	-1.5	0-1	0-3	0-1	64	85	72	2024
Louisiana 	-1.6	0-0	0-0	0-2	61	79	68	2024
Michigan St 	-1.7	0-3	1-1	0-1	57	83	76	2024
Northwestern 	-3.1	0-2	0-2	0-1	63	88	83	2024
Jacksonville St 	-3.1	0-0	0-1	0-0	77	120	77	2024
S Florida 	-3.1	0-1	0-1	0-1	48	88	79	2024
N Illinois 	-3.3	1-0	0-0	0-0	58	92	85	2024
Arizona 	-3.4	0-0	0-2	1-3	32	82	81	2024
UConn 	-3.7	0-0	0-0	0-0	83	128	89	2024
Bowling Green 	-3.7	0-1	0-1	0-0	65	97	80	2024
Old Dominion 	-4	0-0	0-1	0-1	79	110	82	2024
UTSA 	-4.1	0-1	0-0	0-0	58	109	91	2024
Toledo 	-4.2	0-0	0-0	0-0	61	90	90	2024
Wake Forest 	-4.5	0-1	0-2	0-0	70	88	84	2024
Georgia So 	-5	0-1	0-0	0-1	81	104	86	2024
Stanford 	-5.1	0-1	1-2	0-2	66	99	87	2024
E Carolina 	-5.6	0-0	0-0	0-0	83	101	92	2024
Fresno St 	-5.6	0-0	0-1	0-0	66	92	88	2024
N Texas 	-7.1	0-0	0-0	0-1	85	104	95	2024
Rice 	-7.3	0-0	0-0	0-1	80	105	94	2024
Liberty 	-8	0-0	0-0	0-0	42	96	93	2024
App State 	-8.1	0-0	0-1	0-0	53	105	97	2024
San Jose St 	-8.2	0-0	0-0	0-1	91	112	99	2024
Sam Houston 	-8.3	0-0	0-0	0-0	90	117	101	2024
Oregon St 	-8.8	0-1	0-0	0-1	61	103	100	2024
W Kentucky 	-9	0-1	0-0	0-0	78	111	102	2024
Troy 	-9.2	0-0	0-1	0-0	90	109	103	2024
Colorado St 	-9.2	0-1	0-0	0-1	94	115	96	2024
Buffalo 	-10.1	0-0	0-1	0-0	103	123	108	2024
W Michigan 	-10.2	0-1	0-0	0-0	93	110	104	2024
Coastal Car 	-10.2	0-0	0-0	0-0	72	105	98	2024
Air Force 	-11.4	0-0	0-0	0-1	87	123	105	2024
Utah St 	-11.9	0-0	0-1	0-2	106	122	107	2024
Nevada 	-11.9	0-0	0-1	0-2	98	127	106	2024
Wyoming 	-12.5	0-0	0-2	0-1	91	123	109	2024
Hawai'i 	-12.5	0-0	0-0	0-1	97	112	110	2024
Arkansas St 	-12.6	0-0	0-2	0-0	95	115	114	2024
UAB 	-12.8	0-0	0-0	0-2	87	121	111	2024
Charlotte 	-12.9	0-1	0-0	0-1	102	124	112	2024
Purdue 	-13.1	0-5	0-0	0-2	51	116	116	2024
Louisiana Tech 	-13.5	0-0	0-0	0-1	113	126	113	2024
UL Monroe 	-13.9	0-1	0-0	0-1	99	133	115	2024
E Michigan 	-14.1	0-0	0-0	0-0	98	123	119	2024
Florida Intl 	-14.3	0-1	0-0	0-0	98	129	118	2024
Georgia St 	-14.4	0-0	0-0	0-0	111	125	117	2024
Florida Atlantic 	-14.4	0-0	0-0	0-0	98	124	120	2024
C Michigan 	-15.3	0-0	0-0	0-1	77	123	123	2024
San Diego St 	-15.5	0-0	0-0	0-1	98	123	122	2024
New Mexico 	-15.5	0-0	0-0	0-1	119	133	121	2024
Akron 	-16.3	0-1	0-1	0-0	123	129	124	2024
UMass 	-19.4	0-1	0-1	0-0	125	133	125	2024
Ball St 	-19.7	0-0	0-1	0-0	118	131	126	2024
Temple 	-20.6	0-0	0-0	0-2	123	133	127	2024
UTEP 	-22.8	0-1	0-0	0-1	124	131	128	2024
Middle Tenn 	-23.5	0-1	0-0	0-0	115	131	129	2024
New Mexico St 	-24.9	0-0	0-1	0-0	126	133	130	2024
Southern Miss 	-25.7	0-0	0-0	0-0	118	132	131	2024
Tulsa 	-25.8	0-0	0-0	0-0	99	133	133	2024
Kennesaw St 	-26.1	0-0	0-0	0-0	131	134	132	2024
Kent St 	-32.5	0-2	0-0	0-0	131	134	134	2024
