,index,fav_side,dog_side,full_date,away_score,home_score,away,home,ou_total,spread,ou,spread_away_cover,spread_home_cover,ml_fav,ml_dog,match_key,game_id,favorite_covered
9213,9336,home,away,2020-09-19,13,17,FCS,UTEP,48.0,8.5,U,y,n,-300,279,FCS_UTEP,2020-9-19_FCS_UTEP,n
9212,9334,home,away,2020-09-19,10,24,FCS,UTSA,55.5,17.0,U,y,n,-620.0,45500,FCS_UTSA,2020-9-19_FCS_UTSA,n
9199,9320,away,home,2020-09-19,34,31,Louisiana Lafayette,Georgia State,57.5,17.0,O,n,y,-375,635.2702702702703,Georgia State_Louisiana Lafayette,2020-9-19_Georgia State_Louisiana Lafayette,n
9205,9326,home,away,2020-09-19,30,24,Liberty,Western Kentucky,51.5,14.5,O,y,n,-730.8421052631579,246,Liberty_Western Kentucky,2020-9-19_Liberty_Western Kentucky,n
9207,9328,away,home,2020-09-19,38,17,Texas State,Louisiana Monroe,58.5,3.0,U,y,n,-550,695.625,Louisiana Monroe_Texas State,2020-9-19_Louisiana Monroe_Texas State,y
9206,9327,home,away,2020-09-19,31,30,Louisiana Tech,Southern Miss,59.0,7.5,O,y,n,-367.5833333333333,977.5555555555555,Louisiana Tech_Southern Miss,2020-9-19_Louisiana Tech_Southern Miss,n
9202,9323,away,home,2020-09-19,47,34,Miami FL,Louisville,66.0,2.5,O,y,n,-378.39325842696627,412.0,Louisville_Miami FL,2020-9-19_Louisville_Miami FL,y
9209,9330,home,away,2020-09-19,27,24,Navy,Tulane,45.0,5.5,O,y,n,-404.5111111111111,1305,Navy_Tulane,2020-9-19_Navy_Tulane,n
9208,9329,away,home,2020-09-19,65,35,SMU,North Texas,71.0,15.0,O,n,y,-540.32,502.0,North Texas_SMU,2020-9-19_North Texas_SMU,y
9211,9332,home,away,2020-09-19,7,16,Tulsa,Oklahoma State,66.5,24.0,U,y,n,-1007.78125,26000,Oklahoma State_Tulsa,2020-9-19_Oklahoma State_Tulsa,n
9203,9324,home,away,2020-09-19,10,21,Syracuse,Pittsburgh,48.5,21.0,U,y,n,-214,955,Pittsburgh_Syracuse,2020-9-19_Pittsburgh_Syracuse,n
9214,9337,away,home,2020-09-24,42,10,UAB,South Alabama,47.5,7.5,O,y,n,-367.5833333333333,977.5555555555555,South Alabama_UAB,2020-9-24_South Alabama_UAB,y
9215,9338,home,away,2020-09-25,35,37,FCS,UTSA,59.0,5.5,O,y,n,-404.5111111111111,991.0444444444445,FCS_UTSA,2020-9-25_FCS_UTSA,n
9226,9349,away,home,2020-09-26,38,19,Alabama,Missouri,56.0,29.0,O,n,y,-4525.0,1705.0,Alabama_Missouri,2020-9-26_Alabama_Missouri,n
9216,9339,home,away,2020-09-26,21,52,FCS,Appalachian State,54.0,32.5,O,y,n,-12038.333333333334,3200.3333333333335,Appalachian State_FCS,2020-9-26_Appalachian State_FCS,n
9230,9353,away,home,2020-09-26,37,10,Georgia,Arkansas,53.0,28.0,U,n,y,-1864.1538461538462,2040.3846153846155,Arkansas_Georgia,2020-9-26_Arkansas_Georgia,n
9237,9360,home,away,2020-09-26,10,24,Army,Cincinnati,45.0,12.5,U,y,n,-628.1851851851852,280,Army_Cincinnati,2020-9-26_Army_Cincinnati,y
9234,9357,home,away,2020-09-26,13,29,Kentucky,Auburn,46.5,6.5,U,y,n,-398.2073170731707,667.0243902439024,Auburn_Kentucky,2020-9-26_Auburn_Kentucky,y
9225,9348,home,away,2020-09-26,7,48,Troy,BYU,58.5,14.5,U,y,n,-6000,450,BYU_Troy,2020-9-26_BYU_Troy,y
9224,9347,home,away,2020-09-26,14,47,Kansas,Baylor,61.0,17.0,E,y,n,-620.0,635.2702702702703,Baylor_Kansas,2020-9-26_Baylor_Kansas,y
9240,9363,home,away,2020-09-26,21,24,Texas State,Boston College,57.5,21.5,U,y,n,-1153.3333333333333,1057.8,Boston College_Texas State,2020-9-26_Boston College_Texas State,n
9239,9362,home,away,2020-09-26,20,38,Duke,Virginia,45.5,4.0,O,y,n,-252.21686746987953,1100,Duke_Virginia,2020-9-26_Duke_Virginia,y
9219,9342,away,home,2020-09-26,51,28,FCS,East Carolina,77.5,27.5,O,n,y,-5000,375,East Carolina_FCS,2020-9-26_East Carolina_FCS,n
9235,9358,home,away,2020-09-26,34,36,FCS,Liberty,60.5,9.0,O,y,n,-170,290,FCS_Liberty,2020-9-26_FCS_Liberty,n
9217,9340,home,away,2020-09-26,38,66,FCS,Louisiana Tech,77.0,23.5,O,y,n,-1360.6666666666667,1017.0,FCS_Louisiana Tech,2020-9-26_FCS_Louisiana Tech,y
9218,9341,home,away,2020-09-26,7,50,FCS,SMU,65.5,39.0,U,y,n,-170.0,16000.0,FCS_SMU,2020-9-26_FCS_SMU,y
9241,9364,home,away,2020-09-26,24,45,FCS,Virginia Tech,56.5,6.0,O,y,n,-524.776119402985,1000,FCS_Virginia Tech,2020-9-26_FCS_Virginia Tech,y
9220,9343,home,away,2020-09-26,10,52,Florida State,Miami FL,53.5,11.5,O,y,n,-495.29411764705884,393.0,Florida State_Miami FL,2020-9-26_Florida State_Miami FL,y
9228,9351,home,away,2020-09-26,18,20,Georgia Southern,Louisiana Lafayette,49.5,11.5,U,y,n,-495.29411764705884,393.0,Georgia Southern_Louisiana Lafayette,2020-9-26_Georgia Southern_Louisiana Lafayette,n
