,index,full_date,spread,ou,ou_total,home,away,match_key,game_id,home_score,away_score,fav_side,dog_side,favorite_covered,spread_away_cover,spread_home_cover,ml_fav,ml_dog
1365,1371,2024-09-14,23.5,O,61.0,Arkansas,UAB,Arkansas_UAB,2024-09-14_Arkansas_UAB,37,27,away,home,n,y,n,-1360.6666666666667,1017.0
168,168,2024-09-14,24.0,O,58.0,Auburn,New Mexico,Auburn_New Mexico,2024-09-14_Auburn_New Mexico,45,19,home,away,y,n,y,-1007.78125,1114.375
291,293,2024-09-14,9.5,O,40.0,Wyoming,BYU,BYU_Wyoming,2024-09-14_BYU_Wyoming,14,34,home,away,n,y,n,-378.86538461538464,437.7307692307692
913,918,2024-09-14,36.5,O,56.0,Miami FL,Ball State,Ball State_Miami FL,2024-09-14_Ball State_Miami FL,62,0,home,away,y,n,y,-103.0,7500.0
239,240,2024-09-14,14.5,U,52.0,Missouri,Boston College,Boston College_Missouri,2024-09-14_Boston College_Missouri,27,21,away,home,n,y,n,-730.8421052631579,496.3421052631579
275,277,2024-09-14,3.5,U,46.0,Buffalo,Massachusetts,Buffalo_Massachusetts,2024-09-14_Buffalo_Massachusetts,34,3,home,away,y,n,y,-252.70491803278688,1557.639344262295
310,312,2024-09-14,18.5,U,48.5,California,San Diego State,California_San Diego State,2024-09-14_California_San Diego State,31,10,home,away,y,n,y,-645.2941176470588,748.2352941176471
325,327,2024-09-14,21.0,U,50.0,Illinois,Central Michigan,Central Michigan_Illinois,2024-09-14_Central Michigan_Illinois,30,9,away,home,n,y,n,-855.2,704.6285714285714
934,939,2024-09-14,3.0,U,47.5,Miami OH,Cincinnati,Cincinnati_Miami OH,2024-09-14_Cincinnati_Miami OH,16,27,away,home,y,y,n,-276.2142857142857,695.625
390,392,2024-09-14,17.0,U,52.5,Temple,Coastal Carolina,Coastal Carolina_Temple,2024-09-14_Coastal Carolina_Temple,20,28,home,away,n,y,n,-620.0,635.2702702702703
407,409,2024-09-14,7.5,U,58.5,Colorado State,Colorado,Colorado_Colorado State,2024-09-14_Colorado_Colorado State,9,28,home,away,n,y,n,-367.5833333333333,977.5555555555555
436,438,2024-09-14,17.0,U,47.5,Duke,Connecticut,Connecticut_Duke,2024-09-14_Connecticut_Duke,26,21,home,away,n,y,n,-620.0,635.2702702702703
455,457,2024-09-14,2.5,O,54.0,Eastern Michigan,Jacksonville State,Eastern Michigan_Jacksonville State,2024-09-14_Eastern Michigan_Jacksonville State,37,34,away,home,n,n,y,-378.39325842696627,412.0
530,532,2024-09-14,6.5,U,54.5,Florida State,Memphis,Florida State_Memphis,2024-09-14_Florida State_Memphis,12,20,home,away,n,y,n,-398.2073170731707,667.0243902439024
513,515,2024-09-14,3.0,O,45.5,Florida,Texas A&M,Florida_Texas A&M,2024-09-14_Florida_Texas A&M,20,33,away,home,y,y,n,-276.2142857142857,695.625
541,543,2024-09-14,20.0,O,47.5,Fresno State,New Mexico State,Fresno State_New Mexico State,2024-09-14_Fresno State_New Mexico State,48,0,home,away,y,n,y,-887.578947368421,627.2631578947369
586,588,2024-09-14,8.5,O,44.5,Georgia State,Vanderbilt,Georgia State_Vanderbilt,2024-09-14_Georgia State_Vanderbilt,36,32,away,home,n,y,n,-370.22222222222223,1141.0740740740741
557,559,2024-09-14,21.5,U,45.5,Kentucky,Georgia,Georgia_Kentucky,2024-09-14_Georgia_Kentucky,12,13,home,away,n,y,n,-1153.3333333333333,1057.8
1239,1245,2024-09-14,3.5,U,48.5,Sam Houston,Hawaii,Hawaii_Sam Houston,2024-09-14_Hawaii_Sam Houston,31,13,home,away,y,n,y,-252.70491803278688,1557.639344262295
624,626,2024-09-14,4.5,U,45.0,Houston,Rice,Houston_Rice,2024-09-14_Houston_Rice,33,7,home,away,y,n,y,-309.2950819672131,392.8196721311475
1401,1408,2024-09-14,3.5,O,46.5,UCLA,Indiana,Indiana_UCLA,2024-09-14_Indiana_UCLA,13,42,away,home,y,y,n,-252.70491803278688,1557.639344262295
676,678,2024-09-14,23.5,O,39.0,Iowa,Troy,Iowa_Troy,2024-09-14_Iowa_Troy,38,21,home,away,n,y,n,-1360.6666666666667,1017.0
755,757,2024-09-14,17.5,U,42.5,San Jose State,Kennesaw State,Kennesaw State_San Jose State,2024-09-14_Kennesaw State_San Jose State,31,10,away,home,n,n,y,-678.28125,564.25
847,851,2024-09-14,6.0,O,48.5,South Carolina,LSU,LSU_South Carolina,2024-09-14_LSU_South Carolina,33,36,home,away,n,y,n,-524.776119402985,786.1044776119403
1493,1500,2024-09-14,24.0,U,57.5,Liberty,UTEP,Liberty_UTEP,2024-09-14_Liberty_UTEP,28,10,away,home,n,y,n,-1007.78125,1114.375
1027,1032,2024-09-14,20.5,O,48.0,NC State,Louisiana Tech,Louisiana Tech_NC State,2024-09-14_Louisiana Tech_NC State,30,20,home,away,n,y,n,-999.9047619047619,786.952380952381
877,881,2024-09-14,2.5,U,56.5,Virginia,Maryland,Maryland_Virginia,2024-09-14_Maryland_Virginia,13,27,away,home,y,y,n,-378.39325842696627,412.0
984,989,2024-09-14,7.5,O,54.5,Middle Tennessee,Western Kentucky,Middle Tennessee_Western Kentucky,2024-09-14_Middle Tennessee_Western Kentucky,21,49,away,home,y,y,n,-367.5833333333333,977.5555555555555
990,995,2024-09-14,16.5,U,44.5,Minnesota,Nevada,Minnesota_Nevada,2024-09-14_Minnesota_Nevada,27,0,home,away,y,n,y,-1718.775,539.65
1001,1006,2024-09-14,10.5,O,57.5,Mississippi State,Toledo,Mississippi State_Toledo,2024-09-14_Mississippi State_Toledo,17,41,home,away,n,y,n,-421.2708333333333,438.6041666666667
1095,1100,2024-09-14,10.5,O,70.5,Texas Tech,North Texas,North Texas_Texas Tech,2024-09-14_North Texas_Texas Tech,66,21,away,home,n,n,y,-421.2708333333333,438.6041666666667
1114,1119,2024-09-14,7.5,O,47.0,Purdue,Notre Dame,Notre Dame_Purdue,2024-09-14_Notre Dame_Purdue,7,66,home,away,n,y,n,-367.5833333333333,977.5555555555555
1150,1155,2024-09-14,17.5,U,63.5,Tulsa,Oklahoma State,Oklahoma State_Tulsa,2024-09-14_Oklahoma State_Tulsa,10,45,home,away,n,y,n,-678.28125,564.25
1142,1147,2024-09-14,12.5,O,48.5,Oklahoma,Tulane,Oklahoma_Tulane,2024-09-14_Oklahoma_Tulane,34,19,home,away,y,n,y,-628.1851851851852,429.48148148148147
1159,1164,2024-09-14,16.0,O,47.5,Old Dominion,Virginia Tech,Old Dominion_Virginia Tech,2024-09-14_Old Dominion_Virginia Tech,17,37,away,home,y,y,n,-586.3076923076923,832.8846153846154
1165,1171,2024-09-14,21.0,U,66.0,Wake Forest,Ole Miss,Ole Miss_Wake Forest,2024-09-14_Ole Miss_Wake Forest,6,40,home,away,n,y,n,-855.2,704.6285714285714
1185,1191,2024-09-14,18.5,O,50.0,Oregon State,Oregon,Oregon_Oregon State,2024-09-14_Oregon_Oregon State,14,49,home,away,n,y,n,-645.2941176470588,748.2352941176471
1213,1219,2024-09-14,1.5,O,62.0,Pittsburgh,West Virginia,Pittsburgh_West Virginia,2024-09-14_Pittsburgh_West Virginia,38,34,away,home,n,n,y,-323.8360655737705,588.6229508196722
1471,1478,2024-09-14,12.5,O,58.5,Southern Miss,USF,Southern Miss_USF,2024-09-14_Southern Miss_USF,24,49,home,away,n,y,n,-628.1851851851852,429.48148148148147
1511,1518,2024-09-14,35.5,O,55.5,Texas,UTSA,Texas_UTSA,2024-09-14_Texas_UTSA,56,7,away,home,n,n,y,-307.85714285714283,8100.0
1488,1495,2024-09-14,19.5,O,43.5,Utah State,Utah,Utah_Utah State,2024-09-14_Utah_Utah State,21,38,home,away,n,y,n,-1123.9473684210527,1319.4736842105262
1536,1543,2024-09-14,6.0,U,54.0,Washington,Washington State,Washington_Washington State,2024-09-14_Washington_Washington State,19,24,home,away,n,y,n,-524.776119402985,786.1044776119403
64,64,2024-09-19,7.5,U,62.5,Appalachian State,South Alabama,Appalachian State_South Alabama,2024-09-19_Appalachian State_South Alabama,14,48,home,away,n,y,n,-367.5833333333333,977.5555555555555
636,638,2024-09-20,9.5,O,42.5,Nebraska,Illinois,Illinois_Nebraska,2024-09-20_Illinois_Nebraska,24,31,away,home,n,n,y,-378.86538461538464,437.7307692307692
1262,1268,2024-09-20,13.0,O,55.5,Washington State,San Jose State,San Jose State_Washington State,2024-09-20_San Jose State_Washington State,54,52,away,home,n,y,n,-462.03125,577.53125
1308,1314,2024-09-20,9.5,U,57.0,Syracuse,Stanford,Stanford_Syracuse,2024-09-20_Stanford_Syracuse,24,26,away,home,n,n,y,-378.86538461538464,437.7307692307692
23,23,2024-09-21,24.5,O,41.5,South Carolina,Akron,Akron_South Carolina,2024-09-21_Akron_South Carolina,50,7,away,home,n,n,y,-1142.235294117647,1202.0588235294117
102,102,2024-09-21,4.5,U,58.5,Texas Tech,Arizona State,Arizona State_Texas Tech,2024-09-21_Arizona State_Texas Tech,30,22,away,home,n,n,y,-309.2950819672131,392.8196721311475
135,135,2024-09-21,20.5,O,52.0,Iowa State,Arkansas State,Arkansas State_Iowa State,2024-09-21_Arkansas State_Iowa State,52,7,away,home,n,n,y,-999.9047619047619,786.952380952381
119,119,2024-09-21,2.5,U,53.5,Auburn,Arkansas,Arkansas_Auburn,2024-09-21_Arkansas_Auburn,14,24,away,home,y,y,n,-378.39325842696627,412.0
153,153,2024-09-21,7.5,O,43.5,Army,Rice,Army_Rice,2024-09-21_Army_Rice,37,14,home,away,y,n,y,-367.5833333333333,977.5555555555555
292,294,2024-09-21,7.5,U,49.5,BYU,Kansas State,BYU_Kansas State,2024-09-21_BYU_Kansas State,38,9,away,home,n,n,y,-367.5833333333333,977.5555555555555
183,183,2024-09-21,6.5,O,50.5,Central Michigan,Ball State,Ball State_Central Michigan,2024-09-21_Ball State_Central Michigan,37,34,away,home,n,y,n,-398.2073170731707,667.0243902439024
